unit	geo	time	obs_value	obs_decimals	obs_status
PPS_EU27_2020_HAB	AL01	2018	7400		p
PPS_HAB_EU27_2020	AL01	2008	20		
PPS_HAB_EU27_2020	AL01	2009	22		
PPS_HAB_EU27_2020	AL01	2010	24		
PPS_HAB_EU27_2020	AL01	2011	24		b
PPS_HAB_EU27_2020	AL01	2012	24		
PPS_HAB_EU27_2020	AL01	2013	24		
PPS_HAB_EU27_2020	AL01	2014	24		
PPS_HAB_EU27_2020	AL01	2015	25		
PPS_HAB_EU27_2020	AL01	2016	25		
PPS_HAB_EU27_2020	AL01	2017	24		
PPS_HAB_EU27_2020	AL01	2018	25		p
MIO_EUR	AL02	2008	4207.03	2	
MIO_EUR	AL02	2009	4153.76	2	
MIO_EUR	AL02	2010	4211.08	2	
MIO_EUR	AL02	2011	4195.2	1	b
MIO_EUR	AL02	2012	4294.6	1	
MIO_EUR	AL02	2013	4319.08	2	
MIO_EUR	AL02	2014	4535.08	2	
MIO_EUR	AL02	2015	4837.09	2	
MIO_EUR	AL02	2016	5050.74	2	
MIO_EUR	AL02	2017	5640.05	2	
MIO_EUR	AL02	2018	6324.67	2	p
MIO_NAC	AL02	2008	516622.68	2	
MIO_NAC	AL02	2009	548546.01	2	
MIO_NAC	AL02	2010	580244.73	2	
MIO_NAC	AL02	2011	588712.75	2	b
MIO_NAC	AL02	2012	597120.84	2	
MIO_NAC	AL02	2013	605794.06	2	
MIO_NAC	AL02	2014	634775.6	1	
MIO_NAC	AL02	2015	675935.44	2	
MIO_NAC	AL02	2016	693769.67	2	
MIO_NAC	AL02	2017	756613.3	1	
MIO_NAC	AL02	2018	806965.26	2	p
EUR_HAB_EU27_2020	AL02	2008	16		
EUR_HAB_EU27_2020	AL02	2009	16		
EUR_HAB_EU27_2020	AL02	2010	16		
EUR_HAB_EU27_2020	AL02	2011	15		b
EUR_HAB_EU27_2020	AL02	2012	15		
EUR_HAB_EU27_2020	AL02	2013	15		
EUR_HAB_EU27_2020	AL02	2014	15		
EUR_HAB_EU27_2020	AL02	2015	16		
EUR_HAB_EU27_2020	AL02	2016	16		
EUR_HAB_EU27_2020	AL02	2017	17		
EUR_HAB_EU27_2020	AL02	2018	18		p
EUR_HAB	AL02	2008	4000		
EUR_HAB	AL02	2009	4000		
EUR_HAB	AL02	2010	4000		
EUR_HAB	AL02	2011	3900		b
EUR_HAB	AL02	2012	3900		
EUR_HAB	AL02	2013	3900		
EUR_HAB	AL02	2014	4100		
EUR_HAB	AL02	2015	4300		
EUR_HAB	AL02	2016	4400		
EUR_HAB	AL02	2017	4900		
EUR_HAB	AL02	2018	5400		p
MIO_PPS_EU27_2020	AL02	2008	8995.4	1	
MIO_PPS_EU27_2020	AL02	2009	9341.1	1	
MIO_PPS_EU27_2020	AL02	2010	9936.55	2	
MIO_PPS_EU27_2020	AL02	2011	10005.89	2	b
MIO_PPS_EU27_2020	AL02	2012	10104.44	2	
MIO_PPS_EU27_2020	AL02	2013	9906.84	2	
MIO_PPS_EU27_2020	AL02	2014	10603.34	2	
MIO_PPS_EU27_2020	AL02	2015	11378.08	2	
MIO_PPS_EU27_2020	AL02	2016	11365.52	2	
MIO_PPS_EU27_2020	AL02	2017	12295.82	2	
MIO_PPS_EU27_2020	AL02	2018	12987.79	2	p
PPS_EU27_2020_HAB	AL02	2008	8600		
PPS_EU27_2020_HAB	AL02	2009	8900		
PPS_EU27_2020_HAB	AL02	2010	9300		
PPS_EU27_2020_HAB	AL02	2011	9300		b
PPS_EU27_2020_HAB	AL02	2012	9300		
PPS_EU27_2020_HAB	AL02	2013	9000		
PPS_EU27_2020_HAB	AL02	2014	9500		
PPS_EU27_2020_HAB	AL02	2015	10100		
PPS_EU27_2020_HAB	AL02	2016	10000		
PPS_EU27_2020_HAB	AL02	2017	10700		
PPS_EU27_2020_HAB	AL02	2018	11100		p
PPS_HAB_EU27_2020	AL02	2008	34		
PPS_HAB_EU27_2020	AL02	2009	37		
PPS_HAB_EU27_2020	AL02	2010	38		
PPS_HAB_EU27_2020	AL02	2011	36		b
PPS_HAB_EU27_2020	AL02	2012	36		
PPS_HAB_EU27_2020	AL02	2013	35		
PPS_HAB_EU27_2020	AL02	2014	36		
PPS_HAB_EU27_2020	AL02	2015	37		
PPS_HAB_EU27_2020	AL02	2016	35		
PPS_HAB_EU27_2020	AL02	2017	36		
PPS_HAB_EU27_2020	AL02	2018	37		p
MIO_EUR	AL03	2008	2513.6	1	
MIO_EUR	AL03	2009	2436.78	2	
MIO_EUR	AL03	2010	2560.43	2	
MIO_EUR	AL03	2011	2858.55	2	b
MIO_EUR	AL03	2012	2993.75	2	
MIO_EUR	AL03	2013	3029.61	2	
MIO_EUR	AL03	2014	3143.07	2	
MIO_EUR	AL03	2015	3008.27	2	
MIO_EUR	AL03	2016	3119.93	2	
MIO_EUR	AL03	2017	3211.98	2	
MIO_EUR	AL03	2018	3539		p
MIO_NAC	AL03	2008	308669.75	2	
MIO_NAC	AL03	2009	321801.72	2	
MIO_NAC	AL03	2010	352802.33	2	
MIO_NAC	AL03	2011	401139.63	2	b
MIO_NAC	AL03	2012	416250.88	2	
MIO_NAC	AL03	2013	424932.95	2	
MIO_NAC	AL03	2014	439934.9	1	
MIO_NAC	AL03	2015	420375.89	2	
MIO_NAC	AL03	2016	428553.82	2	
MIO_NAC	AL03	2017	430886.48	2	
MIO_NAC	AL03	2018	451541.21	2	p
EUR_HAB_EU27_2020	AL03	2008	10		
EUR_HAB_EU27_2020	AL03	2009	10		
EUR_HAB_EU27_2020	AL03	2010	11		
EUR_HAB_EU27_2020	AL03	2011	12		b
EUR_HAB_EU27_2020	AL03	2012	12		
EUR_HAB_EU27_2020	AL03	2013	12		
EUR_HAB_EU27_2020	AL03	2014	13		
EUR_HAB_EU27_2020	AL03	2015	12		
EUR_HAB_EU27_2020	AL03	2016	12		
EUR_HAB_EU27_2020	AL03	2017	12		
EUR_HAB_EU27_2020	AL03	2018	13		p
EUR_HAB	AL03	2008	2500		
EUR_HAB	AL03	2009	2400		
EUR_HAB	AL03	2010	2600		
EUR_HAB	AL03	2011	3000		b
EUR_HAB	AL03	2012	3100		
EUR_HAB	AL03	2013	3200		
EUR_HAB	AL03	2014	3400		
EUR_HAB	AL03	2015	3300		
EUR_HAB	AL03	2016	3400		
EUR_HAB	AL03	2017	3600		
EUR_HAB	AL03	2018	4000		p
MIO_PPS_EU27_2020	AL03	2008	5374.53	2	
MIO_PPS_EU27_2020	AL03	2009	5479.91	2	
MIO_PPS_EU27_2020	AL03	2010	6041.65	2	
MIO_PPS_EU27_2020	AL03	2011	6817.86	2	b
MIO_PPS_EU27_2020	AL03	2012	7043.77	2	
MIO_PPS_EU27_2020	AL03	2013	6949.13	2	
MIO_PPS_EU27_2020	AL03	2014	7348.71	2	
MIO_PPS_EU27_2020	AL03	2015	7076.23	2	
MIO_PPS_EU27_2020	AL03	2016	7020.68	2	
MIO_PPS_EU27_2020	AL03	2017	7002.39	2	
MIO_PPS_EU27_2020	AL03	2018	7267.38	2	p
PPS_EU27_2020_HAB	AL03	2008	5300		
PPS_EU27_2020_HAB	AL03	2009	5500		
PPS_EU27_2020_HAB	AL03	2010	6200		
PPS_EU27_2020_HAB	AL03	2011	7100		b
PPS_EU27_2020_HAB	AL03	2012	7400		
PPS_EU27_2020_HAB	AL03	2013	7400		
PPS_EU27_2020_HAB	AL03	2014	7900		
PPS_EU27_2020_HAB	AL03	2015	7700		
PPS_EU27_2020_HAB	AL03	2016	7700		
PPS_EU27_2020_HAB	AL03	2017	7800		
PPS_EU27_2020_HAB	AL03	2018	8200		p
PPS_HAB_EU27_2020	AL03	2008	21		
PPS_HAB_EU27_2020	AL03	2009	23		
PPS_HAB_EU27_2020	AL03	2010	25		
PPS_HAB_EU27_2020	AL03	2011	28		b
PPS_HAB_EU27_2020	AL03	2012	29		
PPS_HAB_EU27_2020	AL03	2013	28		
PPS_HAB_EU27_2020	AL03	2014	30		
PPS_HAB_EU27_2020	AL03	2015	28		
PPS_HAB_EU27_2020	AL03	2016	27		
PPS_HAB_EU27_2020	AL03	2017	27		
PPS_HAB_EU27_2020	AL03	2018	27		p
MIO_EUR	AT	2000	213606.5	1	
MIO_EUR	AT	2001	220525.1	1	
MIO_EUR	AT	2002	226735.2	1	
MIO_EUR	AT	2003	231862.5	1	
MIO_EUR	AT	2004	242348.3	1	
MIO_EUR	AT	2005	254075		
MIO_EUR	AT	2006	267824.5	1	
MIO_EUR	AT	2007	283978		
MIO_EUR	AT	2008	293761.9	1	
MIO_EUR	AT	2009	288044		
MIO_EUR	AT	2010	295896.6	1	
MIO_EUR	AT	2011	310128.7	1	
MIO_EUR	AT	2012	318653		
MIO_EUR	AT	2013	323910.2	1	
MIO_EUR	AT	2014	333146.1	1	
MIO_EUR	AT	2015	344269.2	1	
MIO_EUR	AT	2016	357608		
MIO_EUR	AT	2017	369341.3	1	
MIO_EUR	AT	2018	385361.9	1	
MIO_EUR	AT	2019	397575.3	1	
MIO_NAC	AT	2000	213606.5	1	
MIO_NAC	AT	2001	220525.1	1	
MIO_NAC	AT	2002	226735.2	1	
MIO_NAC	AT	2003	231862.5	1	
MIO_NAC	AT	2004	242348.3	1	
MIO_NAC	AT	2005	254075		
MIO_NAC	AT	2006	267824.5	1	
MIO_NAC	AT	2007	283978		
MIO_NAC	AT	2008	293761.9	1	
MIO_NAC	AT	2009	288044		
MIO_NAC	AT	2010	295896.6	1	
MIO_NAC	AT	2011	310128.7	1	
MIO_NAC	AT	2012	318653		
MIO_NAC	AT	2013	323910.2	1	
MIO_NAC	AT	2014	333146.1	1	
MIO_NAC	AT	2015	344269.2	1	
MIO_NAC	AT	2016	357608		
MIO_NAC	AT	2017	369341.3	1	
MIO_NAC	AT	2018	385361.9	1	
MIO_NAC	AT	2019	397575.3	1	
EUR_HAB_EU27_2020	AT	2000	145		
EUR_HAB_EU27_2020	AT	2001	143		
EUR_HAB_EU27_2020	AT	2002	141		
EUR_HAB_EU27_2020	AT	2003	140		
EUR_HAB_EU27_2020	AT	2004	140		
EUR_HAB_EU27_2020	AT	2005	140		
EUR_HAB_EU27_2020	AT	2006	140		
EUR_HAB_EU27_2020	AT	2007	139		
EUR_HAB_EU27_2020	AT	2008	140		
EUR_HAB_EU27_2020	AT	2009	144		
EUR_HAB_EU27_2020	AT	2010	142		
EUR_HAB_EU27_2020	AT	2011	144		
EUR_HAB_EU27_2020	AT	2012	147		
EUR_HAB_EU27_2020	AT	2013	147		
EUR_HAB_EU27_2020	AT	2014	147		
EUR_HAB_EU27_2020	AT	2015	145		
EUR_HAB_EU27_2020	AT	2016	145		
EUR_HAB_EU27_2020	AT	2017	143		
EUR_HAB_EU27_2020	AT	2018	144		
EUR_HAB_EU27_2020	AT	2019	144		
EUR_HAB	AT	2000	26700		
EUR_HAB	AT	2001	27400		
EUR_HAB	AT	2002	28100		
EUR_HAB	AT	2003	28600		
EUR_HAB	AT	2004	29700		
EUR_HAB	AT	2005	30900		
EUR_HAB	AT	2006	32400		
EUR_HAB	AT	2007	34200		
EUR_HAB	AT	2008	35300		
EUR_HAB	AT	2009	34500		
EUR_HAB	AT	2010	35400		
EUR_HAB	AT	2011	37000		
EUR_HAB	AT	2012	37800		
EUR_HAB	AT	2013	38200		
EUR_HAB	AT	2014	39000		
EUR_HAB	AT	2015	39900		
EUR_HAB	AT	2016	40900		
EUR_HAB	AT	2017	42000		
EUR_HAB	AT	2018	43600		
EUR_HAB	AT	2019	44800		
MIO_PPS_EU27_2020	AT	2000	195493.98	2	
MIO_PPS_EU27_2020	AT	2001	197746.66	2	
MIO_PPS_EU27_2020	AT	2002	206532.22	2	
MIO_PPS_EU27_2020	AT	2003	214318.4	1	
MIO_PPS_EU27_2020	AT	2004	225486.43	2	
MIO_PPS_EU27_2020	AT	2005	235907.74	2	
MIO_PPS_EU27_2020	AT	2006	247522.69	2	
MIO_PPS_EU27_2020	AT	2007	258253.38	2	
MIO_PPS_EU27_2020	AT	2008	266762.83	2	
MIO_PPS_EU27_2020	AT	2009	257762.11	2	
MIO_PPS_EU27_2020	AT	2010	265912.33	2	
MIO_PPS_EU27_2020	AT	2011	278065.02	2	
MIO_PPS_EU27_2020	AT	2012	289313.7	1	
MIO_PPS_EU27_2020	AT	2013	293160.59	2	
MIO_PPS_EU27_2020	AT	2014	298825.94	2	
MIO_PPS_EU27_2020	AT	2015	309814.71	2	
MIO_PPS_EU27_2020	AT	2016	319609.61	2	
MIO_PPS_EU27_2020	AT	2017	327256.16	2	
MIO_PPS_EU27_2020	AT	2018	341951.2	1	
MIO_PPS_EU27_2020	AT	2019	349790.43	2	
PPS_EU27_2020_HAB	AT	2000	24400		
PPS_EU27_2020_HAB	AT	2001	24600		
PPS_EU27_2020_HAB	AT	2002	25600		
PPS_EU27_2020_HAB	AT	2003	26400		
PPS_EU27_2020_HAB	AT	2004	27600		
PPS_EU27_2020_HAB	AT	2005	28700		
PPS_EU27_2020_HAB	AT	2006	29900		
PPS_EU27_2020_HAB	AT	2007	31100		
PPS_EU27_2020_HAB	AT	2008	32100		
PPS_EU27_2020_HAB	AT	2009	30900		
PPS_EU27_2020_HAB	AT	2010	31800		
PPS_EU27_2020_HAB	AT	2011	33100		
PPS_EU27_2020_HAB	AT	2012	34300		
PPS_EU27_2020_HAB	AT	2013	34600		
PPS_EU27_2020_HAB	AT	2014	35000		
PPS_EU27_2020_HAB	AT	2015	35900		
PPS_EU27_2020_HAB	AT	2016	36600		
PPS_EU27_2020_HAB	AT	2017	37200		
PPS_EU27_2020_HAB	AT	2018	38700		
PPS_EU27_2020_HAB	AT	2019	39400		
PPS_HAB_EU27_2020	AT	2000	133		
PPS_HAB_EU27_2020	AT	2001	128		
PPS_HAB_EU27_2020	AT	2002	129		
PPS_HAB_EU27_2020	AT	2003	130		
PPS_HAB_EU27_2020	AT	2004	130		
PPS_HAB_EU27_2020	AT	2005	130		
PPS_HAB_EU27_2020	AT	2006	129		
PPS_HAB_EU27_2020	AT	2007	127		
PPS_HAB_EU27_2020	AT	2008	127		
PPS_HAB_EU27_2020	AT	2009	128		
PPS_HAB_EU27_2020	AT	2010	128		
PPS_HAB_EU27_2020	AT	2011	129		
PPS_HAB_EU27_2020	AT	2012	133		
PPS_HAB_EU27_2020	AT	2013	133		
PPS_HAB_EU27_2020	AT	2014	132		
PPS_HAB_EU27_2020	AT	2015	131		
PPS_HAB_EU27_2020	AT	2016	130		
PPS_HAB_EU27_2020	AT	2017	127		
PPS_HAB_EU27_2020	AT	2018	128		
PPS_HAB_EU27_2020	AT	2019	126		
MIO_EUR	AT1	2000	95990.42	2	
MIO_EUR	AT1	2001	98921.13	2	
MIO_EUR	AT1	2002	101988.43	2	
MIO_EUR	AT1	2003	103719.89	2	
MIO_EUR	AT1	2004	108092.16	2	
MIO_EUR	AT1	2005	112272.47	2	
MIO_EUR	AT1	2006	118383.37	2	
MIO_EUR	AT1	2007	124826.92	2	
MIO_EUR	AT1	2008	129451.59	2	
MIO_EUR	AT1	2009	127954.47	2	
MIO_EUR	AT1	2010	131114.27	2	
MIO_EUR	AT1	2011	136271.77	2	
MIO_EUR	AT1	2012	139149.68	2	
MIO_EUR	AT1	2013	141127.14	2	
MIO_EUR	AT1	2014	144536.29	2	
MIO_EUR	AT1	2015	149210.45	2	
MIO_EUR	AT1	2016	155864.94	2	
MIO_EUR	AT1	2017	159941.08	2	
MIO_EUR	AT1	2018	166154.65	2	
MIO_EUR	AT1	2019	171326.17	2	
MIO_NAC	AT1	2000	95990.42	2	
MIO_NAC	AT1	2001	98921.13	2	
MIO_NAC	AT1	2002	101988.43	2	
MIO_NAC	AT1	2003	103719.89	2	
MIO_NAC	AT1	2004	108092.16	2	
MIO_NAC	AT1	2005	112272.47	2	
MIO_NAC	AT1	2006	118383.37	2	
MIO_NAC	AT1	2007	124826.92	2	
MIO_NAC	AT1	2008	129451.59	2	
MIO_NAC	AT1	2009	127954.47	2	
MIO_NAC	AT1	2010	131114.27	2	
MIO_NAC	AT1	2011	136271.77	2	
MIO_NAC	AT1	2012	139149.68	2	
MIO_NAC	AT1	2013	141127.14	2	
MIO_NAC	AT1	2014	144536.29	2	
MIO_NAC	AT1	2015	149210.45	2	
MIO_NAC	AT1	2016	155864.94	2	
MIO_NAC	AT1	2017	159941.08	2	
MIO_NAC	AT1	2018	166154.65	2	
MIO_NAC	AT1	2019	171326.17	2	
EUR_HAB_EU27_2020	AT1	2000	155		
EUR_HAB_EU27_2020	AT1	2001	152		
EUR_HAB_EU27_2020	AT1	2002	151		
EUR_HAB_EU27_2020	AT1	2003	149		
EUR_HAB_EU27_2020	AT1	2004	147		
EUR_HAB_EU27_2020	AT1	2005	146		
EUR_HAB_EU27_2020	AT1	2006	145		
EUR_HAB_EU27_2020	AT1	2007	144		
EUR_HAB_EU27_2020	AT1	2008	144		
EUR_HAB_EU27_2020	AT1	2009	149		
EUR_HAB_EU27_2020	AT1	2010	147		
EUR_HAB_EU27_2020	AT1	2011	147		
EUR_HAB_EU27_2020	AT1	2012	149		
EUR_HAB_EU27_2020	AT1	2013	148		
EUR_HAB_EU27_2020	AT1	2014	147		
EUR_HAB_EU27_2020	AT1	2015	145		
EUR_HAB_EU27_2020	AT1	2016	145		
EUR_HAB_EU27_2020	AT1	2017	142		
EUR_HAB_EU27_2020	AT1	2018	142		
EUR_HAB_EU27_2020	AT1	2019	142		
EUR_HAB	AT1	2000	28500		
EUR_HAB	AT1	2001	29300		
EUR_HAB	AT1	2002	29900		
EUR_HAB	AT1	2003	30200		
EUR_HAB	AT1	2004	31200		
EUR_HAB	AT1	2005	32100		
EUR_HAB	AT1	2006	33600		
EUR_HAB	AT1	2007	35300		
EUR_HAB	AT1	2008	36400		
EUR_HAB	AT1	2009	35800		
EUR_HAB	AT1	2010	36600		
EUR_HAB	AT1	2011	37800		
EUR_HAB	AT1	2012	38300		
EUR_HAB	AT1	2013	38500		
EUR_HAB	AT1	2014	39100		
EUR_HAB	AT1	2015	39800		
EUR_HAB	AT1	2016	41000		
EUR_HAB	AT1	2017	41700		
EUR_HAB	AT1	2018	43100		
EUR_HAB	AT1	2019	44200		
MIO_PPS_EU27_2020	AT1	2000	87851.02	2	
MIO_PPS_EU27_2020	AT1	2001	88703.39	2	
MIO_PPS_EU27_2020	AT1	2002	92900.87	2	
MIO_PPS_EU27_2020	AT1	2003	95871.83	2	
MIO_PPS_EU27_2020	AT1	2004	100571.42	2	
MIO_PPS_EU27_2020	AT1	2005	104244.6	1	
MIO_PPS_EU27_2020	AT1	2006	109409.59	2	
MIO_PPS_EU27_2020	AT1	2007	113519.27	2	
MIO_PPS_EU27_2020	AT1	2008	117553.95	2	
MIO_PPS_EU27_2020	AT1	2009	114502.69	2	
MIO_PPS_EU27_2020	AT1	2010	117827.99	2	
MIO_PPS_EU27_2020	AT1	2011	122182.86	2	
MIO_PPS_EU27_2020	AT1	2012	126337.77	2	
MIO_PPS_EU27_2020	AT1	2013	127729.58	2	
MIO_PPS_EU27_2020	AT1	2014	129646.4	1	
MIO_PPS_EU27_2020	AT1	2015	134277.46	2	
MIO_PPS_EU27_2020	AT1	2016	139303.19	2	
MIO_PPS_EU27_2020	AT1	2017	141716.35	2	
MIO_PPS_EU27_2020	AT1	2018	147437.46	2	
MIO_PPS_EU27_2020	AT1	2019	150734.35	2	
PPS_EU27_2020_HAB	AT1	2000	26100		
PPS_EU27_2020_HAB	AT1	2001	26200		
PPS_EU27_2020_HAB	AT1	2002	27300		
PPS_EU27_2020_HAB	AT1	2003	27900		
PPS_EU27_2020_HAB	AT1	2004	29100		
PPS_EU27_2020_HAB	AT1	2005	29800		
PPS_EU27_2020_HAB	AT1	2006	31100		
PPS_EU27_2020_HAB	AT1	2007	32100		
PPS_EU27_2020_HAB	AT1	2008	33100		
PPS_EU27_2020_HAB	AT1	2009	32100		
PPS_EU27_2020_HAB	AT1	2010	32800		
PPS_EU27_2020_HAB	AT1	2011	33900		
PPS_EU27_2020_HAB	AT1	2012	34800		
PPS_EU27_2020_HAB	AT1	2013	34900		
PPS_EU27_2020_HAB	AT1	2014	35000		
PPS_EU27_2020_HAB	AT1	2015	35800		
PPS_EU27_2020_HAB	AT1	2016	36600		
PPS_EU27_2020_HAB	AT1	2017	36900		
PPS_EU27_2020_HAB	AT1	2018	38200		
PPS_EU27_2020_HAB	AT1	2019	38900		
PPS_HAB_EU27_2020	AT1	2000	142		
PPS_HAB_EU27_2020	AT1	2001	136		
PPS_HAB_EU27_2020	AT1	2002	137		
PPS_HAB_EU27_2020	AT1	2003	137		
EUR_HAB_EU27_2020	AT12	2017	119		
EUR_HAB_EU27_2020	AT12	2018	119		
EUR_HAB_EU27_2020	AT12	2019	118		
EUR_HAB	AT12	2000	21800		
EUR_HAB	AT12	2001	22100		
EUR_HAB	AT12	2002	22500		
EUR_HAB	AT12	2003	23000		
EUR_HAB	AT12	2004	24300		
EUR_HAB	AT12	2005	24900		
EUR_HAB	AT12	2006	26200		
EUR_HAB	AT12	2007	28000		
EUR_HAB	AT12	2008	29000		
EUR_HAB	AT12	2009	28200		
EUR_HAB	AT12	2010	28800		
EUR_HAB	AT12	2011	30100		
EUR_HAB	AT12	2012	30800		
EUR_HAB	AT12	2013	31100		
EUR_HAB	AT12	2014	31900		
EUR_HAB	AT12	2015	32800		
EUR_HAB	AT12	2016	33500		
EUR_HAB	AT12	2017	34800		
EUR_HAB	AT12	2018	35900		
EUR_HAB	AT12	2019	36700		
MIO_PPS_EU27_2020	AT12	2000	30690.38	2	
MIO_PPS_EU27_2020	AT12	2001	30593.6	1	
MIO_PPS_EU27_2020	AT12	2002	31722.92	2	
MIO_PPS_EU27_2020	AT12	2003	33015.18	2	
MIO_PPS_EU27_2020	AT12	2004	35287.23	2	
MIO_PPS_EU27_2020	AT12	2005	36386.45	2	
MIO_PPS_EU27_2020	AT12	2006	38317.58	2	
MIO_PPS_EU27_2020	AT12	2007	40541.72	2	
MIO_PPS_EU27_2020	AT12	2008	42087.97	2	
MIO_PPS_EU27_2020	AT12	2009	40448.22	2	
MIO_PPS_EU27_2020	AT12	2010	41595.55	2	
MIO_PPS_EU27_2020	AT12	2011	43495.82	2	
MIO_PPS_EU27_2020	AT12	2012	45217.13	2	
MIO_PPS_EU27_2020	AT12	2013	45678.87	2	
MIO_PPS_EU27_2020	AT12	2014	46687.34	2	
MIO_PPS_EU27_2020	AT12	2015	48491.6	1	
MIO_PPS_EU27_2020	AT12	2016	49666.04	2	
MIO_PPS_EU27_2020	AT12	2017	51415.81	2	
MIO_PPS_EU27_2020	AT12	2018	53342.52	2	
MIO_PPS_EU27_2020	AT12	2019	54289.72	2	
PPS_EU27_2020_HAB	AT12	2000	20000		
PPS_EU27_2020_HAB	AT12	2001	19800		
PPS_EU27_2020_HAB	AT12	2002	20500		
PPS_EU27_2020_HAB	AT12	2003	21300		
PPS_EU27_2020_HAB	AT12	2004	22600		
PPS_EU27_2020_HAB	AT12	2005	23100		
PPS_EU27_2020_HAB	AT12	2006	24200		
PPS_EU27_2020_HAB	AT12	2007	25500		
PPS_EU27_2020_HAB	AT12	2008	26300		
PPS_EU27_2020_HAB	AT12	2009	25200		
PPS_EU27_2020_HAB	AT12	2010	25900		
PPS_EU27_2020_HAB	AT12	2011	27000		
PPS_EU27_2020_HAB	AT12	2012	28000		
PPS_EU27_2020_HAB	AT12	2013	28200		
PPS_EU27_2020_HAB	AT12	2014	28600		
PPS_EU27_2020_HAB	AT12	2015	29500		
PPS_EU27_2020_HAB	AT12	2016	29900		
PPS_EU27_2020_HAB	AT12	2017	30800		
PPS_EU27_2020_HAB	AT12	2018	31900		
PPS_EU27_2020_HAB	AT12	2019	32300		
PPS_HAB_EU27_2020	AT12	2000	109		
PPS_HAB_EU27_2020	AT12	2001	103		
PPS_HAB_EU27_2020	AT12	2002	103		
PPS_HAB_EU27_2020	AT12	2003	105		
PPS_HAB_EU27_2020	AT12	2004	107		
PPS_HAB_EU27_2020	AT12	2005	105		
PPS_HAB_EU27_2020	AT12	2006	104		
PPS_HAB_EU27_2020	AT12	2007	104		
PPS_HAB_EU27_2020	AT12	2008	104		
PPS_HAB_EU27_2020	AT12	2009	105		
PPS_HAB_EU27_2020	AT12	2010	104		
PPS_HAB_EU27_2020	AT12	2011	105		
PPS_HAB_EU27_2020	AT12	2012	109		
PPS_HAB_EU27_2020	AT12	2013	108		
PPS_HAB_EU27_2020	AT12	2014	108		
PPS_HAB_EU27_2020	AT12	2015	107		
PPS_HAB_EU27_2020	AT12	2016	106		
PPS_HAB_EU27_2020	AT12	2017	105		
PPS_HAB_EU27_2020	AT12	2018	105		
PPS_HAB_EU27_2020	AT12	2019	104		
MIO_EUR	AT13	2000	57659.47	2	
MIO_EUR	AT13	2001	59843.02	2	
MIO_EUR	AT13	2002	61964.41	2	
MIO_EUR	AT13	2003	62665.57	2	
MIO_EUR	AT13	2004	64529.62	2	
MIO_EUR	AT13	2005	67364.38	2	
MIO_EUR	AT13	2006	71019.27	2	
MIO_EUR	AT13	2007	73964.96	2	
MIO_EUR	AT13	2008	76693.89	2	
MIO_EUR	AT13	2009	76312.79	2	
MIO_EUR	AT13	2010	78130.05	2	
MIO_EUR	AT13	2011	80747.86	2	
MIO_EUR	AT13	2012	81981.66	2	
MIO_EUR	AT13	2013	83117.69	2	
MIO_EUR	AT13	2014	84749.78	2	
MIO_EUR	AT13	2015	87284.43	2	
MIO_EUR	AT13	2016	91942.34	2	
MIO_EUR	AT13	2017	93159.46	2	
MIO_EUR	AT13	2018	97058.12	2	
MIO_EUR	AT13	2019	100347.32	2	
MIO_NAC	AT13	2000	57659.47	2	
MIO_NAC	AT13	2001	59843.02	2	
MIO_NAC	AT13	2002	61964.41	2	
MIO_NAC	AT13	2003	62665.57	2	
MIO_NAC	AT13	2004	64529.62	2	
MIO_NAC	AT13	2005	67364.38	2	
MIO_NAC	AT13	2006	71019.27	2	
MIO_NAC	AT13	2007	73964.96	2	
MIO_NAC	AT13	2008	76693.89	2	
MIO_NAC	AT13	2009	76312.79	2	
MIO_NAC	AT13	2010	78130.05	2	
MIO_NAC	AT13	2011	80747.86	2	
MIO_NAC	AT13	2012	81981.66	2	
MIO_NAC	AT13	2013	83117.69	2	
MIO_NAC	AT13	2014	84749.78	2	
MIO_NAC	AT13	2015	87284.43	2	
MIO_NAC	AT13	2016	91942.34	2	
MIO_NAC	AT13	2017	93159.46	2	
MIO_NAC	AT13	2018	97058.12	2	
MIO_NAC	AT13	2019	100347.32	2	
EUR_HAB_EU27_2020	AT13	2000	202		
EUR_HAB_EU27_2020	AT13	2001	199		
EUR_HAB_EU27_2020	AT13	2002	197		
EUR_HAB_EU27_2020	AT13	2003	193		
EUR_HAB_EU27_2020	AT13	2004	188		
EUR_HAB_EU27_2020	AT13	2005	186		
EUR_HAB_EU27_2020	AT13	2006	185		
EUR_HAB_EU27_2020	AT13	2007	181		
EUR_HAB_EU27_2020	AT13	2008	181		
EUR_HAB_EU27_2020	AT13	2009	188		
EUR_HAB_EU27_2020	AT13	2010	185		
EUR_HAB_EU27_2020	AT13	2011	184		
EUR_HAB_EU27_2020	AT13	2012	184		
EUR_HAB_EU27_2020	AT13	2013	182		
EUR_HAB_EU27_2020	AT13	2014	179		
EUR_HAB_EU27_2020	AT13	2015	175		
EUR_HAB_EU27_2020	AT13	2016	176		
EUR_HAB_EU27_2020	AT13	2017	169		
EUR_HAB_EU27_2020	AT13	2018	170		
EUR_HAB_EU27_2020	AT13	2019	169		
EUR_HAB	AT13	2000	37200		
EUR_HAB	AT13	2001	38300		
EUR_HAB	AT13	2002	39100		
EUR_HAB	AT13	2003	39100		
EUR_HAB	AT13	2004	39800		
EUR_HAB	AT13	2005	41000		
